recv[171] = 0.973750, LLR [171] = 0.000000
recv[172] = 0.831562, LLR [172] = 0.000000
recv[173] = -0.936909, LLR [173] = 0.000000
recv[174] = -0.986484, LLR [174] = 0.000000
recv[175] = 0.984187, LLR [175] = 0.000000
recv[176] = -0.954810, LLR [176] = 0.000000
recv[177] = 0.980377, LLR [177] = 0.000000
recv[178] = -0.877017, LLR [178] = 0.000000
recv[179] = -0.989341, LLR [179] = 0.000000
recv[180] = -0.862323, LLR [180] = 0.000000
recv[181] = -1.020665, LLR [181] = 0.000000
recv[182] = 0.879303, LLR [182] = 0.000000
recv[183] = 0.926908, LLR [183] = 0.000000
recv[184] = -1.103884, LLR [184] = 0.000000
recv[185] = 1.145897, LLR [185] = 0.000000
recv[186] = 0.878413, LLR [186] = 0.000000
recv[187] = 0.986735, LLR [187] = 0.000000
recv[188] = 0.844713, LLR [188] = 0.000000
recv[189] = 1.064078, LLR [189] = 0.000000
recv[190] = -0.990182, LLR [190] = 0.000000
recv[191] = -1.050256, LLR [191] = 0.000000
recv[192] = 0.919604, LLR [192] = 0.000000
recv[193] = -1.125495, LLR [193] = 0.000000
recv[194] = -1.093949, LLR [194] = 0.000000
recv[195] = -0.911517, LLR [195] = 0.000000
recv[196] = 0.912691, LLR [196] = 0.000000
recv[197] = -0.842187, LLR [197] = 0.000000
recv[198] = 0.940164, LLR [198] = 0.000000
recv[199] = 0.981911, LLR [199] = 0.000000
recv[200] = 1.177461, LLR [200] = 0.000000
recv[201] = 1.178994, LLR [201] = 0.000000
recv[202] = 0.939398, LLR [202] = 0.000000
recv[203] = -0.980226, LLR [203] = 0.000000
recv[204] = 1.003825, LLR [204] = 0.000000
recv[205] = 1.093096, LLR [205] = 0.000000
recv[206] = -0.893029, LLR [206] = 0.000000
recv[207] = -1.037004, LLR [207] = 0.000000
recv[208] = 1.164292, LLR [208] = 0.000000
recv[209] = 1.062243, LLR [209] = 0.000000
recv[210] = 0.853955, LLR [210] = 0.000000
recv[211] = -1.095938, LLR [211] = 0.000000
recv[212] = 0.931587, LLR [212] = 0.000000
recv[213] = 0.893223, LLR [213] = 0.000000
recv[214] = 1.012105, LLR [214] = 0.000000
recv[215] = 0.864968, LLR [215] = 0.000000
recv[216] = 0.999596, LLR [216] = 0.000000
recv[217] = 0.935057, LLR [217] = 0.000000
recv[218] = -1.113406, LLR [218] = 0.000000
recv[219] = 0.949972, LLR [219] = 0.000000
recv[220] = -0.954532, LLR [220] = 0.000000
recv[221] = 1.010875, LLR [221] = 0.000000
recv[222] = 0.937584, LLR [222] = 0.000000
recv[223] = -1.026634, LLR [223] = 0.000000
recv[224] = 1.029594, LLR [224] = 0.000000
recv[225] = 0.888418, LLR [225] = 0.000000
recv[226] = 1.221734, LLR [226] = 0.000000
recv[227] = 0.936874, LLR [227] = 0.000000
recv[228] = 0.998232, LLR [228] = 0.000000
recv[229] = -0.918915, LLR [229] = 0.000000
recv[230] = -0.847738, LLR [230] = 0.000000
recv[231] = -1.033167, LLR [231] = 0.000000
recv[232] = -1.112453, LLR [232] = 0.000000
recv[233] = 0.910092, LLR [233] = 0.000000
recv[234] = 1.030073, LLR [234] = 0.000000
recv[235] = -1.047324, LLR [235] = 0.000000
recv[236] = 1.099868, LLR [236] = 0.000000
recv[237] = -0.982237, LLR [237] = 0.000000
recv[238] = 1.007127, LLR [238] = 0.000000
recv[239] = 1.051578, LLR [239] = 0.000000
recv[240] = 0.860872, LLR [240] = 0.000000
recv[241] = -0.940331, LLR [241] = 0.000000
recv[242] = 1.028883, LLR [242] = 0.000000
recv[243] = -1.117877, LLR [243] = 0.000000
recv[244] = -1.133656, LLR [244] = 0.000000
recv[245] = 0.804798, LLR [245] = 0.000000
recv[246] = -1.132177, LLR [246] = 0.000000
recv[247] = -0.962209, LLR [247] = 0.000000
recv[248] = 0.876080, LLR [248] = 0.000000
recv[249] = 0.998979, LLR [249] = 0.000000
recv[250] = -0.917512, LLR [250] = 0.000000
recv[251] = 1.126567, LLR [251] = 0.000000
recv[252] = -0.940486, LLR [252] = 0.000000
